1787094288,0,152,N/A,58,50
1787094288,1,162,N/A,54,45
1787094288,2,165,N/A,59,50
1787094288,3,169,N/A,52,42
1787094288,4,171,N/A,54,44
1787094288,5,150,N/A,60,48
1787094288,6,175,N/A,58,48
1787094288,7,188,N/A,54,44
1787094290,0,1777,N/A,58,50
1787094290,1,2003,N/A,55,45
1787094290,2,1812,N/A,59,50
1787094290,3,1576,N/A,52,42
1787094290,4,2120,N/A,54,43
1787094290,5,2065,N/A,60,48
1787094290,6,2099,N/A,58,48
1787094290,7,1921,N/A,54,44
1787094292,0,2202,N/A,58,49
1787094292,1,2210,N/A,55,46
1787094292,2,2207,N/A,59,50
1787094292,3,2208,N/A,52,42
1787094292,4,2207,N/A,55,43
1787094292,5,2212,N/A,60,48
1787094292,6,2210,N/A,58,48
1787094292,7,2192,N/A,54,44
1787094294,0,2202,N/A,58,49
1787094294,1,2211,N/A,55,46
1787094294,2,2206,N/A,60,51
1787094294,3,2208,N/A,53,42
1787094294,4,2208,N/A,55,43
1787094294,5,2212,N/A,60,49
1787094294,6,2210,N/A,58,48
1787094294,7,2192,N/A,54,44
1787094296,0,1407,N/A,58,50
1787094296,1,1404,N/A,55,46
1787094296,2,1409,N/A,60,51
1787094296,3,1411,N/A,53,42
1787094296,4,1421,N/A,55,43
1787094296,5,1407,N/A,60,48
1787094296,6,1417,N/A,58,48
1787094296,7,1410,N/A,54,44
1787094298,0,2202,N/A,58,50
1787094298,1,2210,N/A,55,46
1787094298,2,2207,N/A,60,51
1787094298,3,2208,N/A,53,42
1787094298,4,2208,N/A,55,43
1787094298,5,2212,N/A,60,48
1787094298,6,2210,N/A,58,48
1787094298,7,2203,N/A,54,44
1787094300,0,2202,N/A,58,49
1787094300,1,2211,N/A,55,45
1787094300,2,2206,N/A,60,50
1787094300,3,2208,N/A,53,42
1787094300,4,2208,N/A,55,43
1787094300,5,2212,N/A,60,49
1787094300,6,2211,N/A,58,48
1787094300,7,2203,N/A,54,44
1787094303,0,2202,N/A,58,50
1787094303,1,2208,N/A,55,46
1787094303,2,2205,N/A,60,51
1787094303,3,2206,N/A,53,43
1787094303,4,2207,N/A,55,44
1787094303,5,2212,N/A,60,48
1787094303,6,2210,N/A,58,48
1787094303,7,2199,N/A,54,44
1787094305,0,2201,N/A,58,50
1787094305,1,2209,N/A,55,46
1787094305,2,2205,N/A,60,51
1787094305,3,2206,N/A,53,42
1787094305,4,2207,N/A,55,44
1787094305,5,2212,N/A,60,49
