idx,utc,cfg,status,iters,head,src_rev,prod_us,pf6gm_us,mps_us,ratio_vs_prod,ratio_vs_pf6gm,pf6gm_vs_prod,gate_pass,gate_max_abs,gate_rel,control_fails,pperr,soak,soak_epochs,ts_planM6_us,ts_M7_us,ts_combine_us,ts_servicedrain_us,ts_m2_to_end_us,ts_planM3toM5_us,ts_M6_us,spin_ok_max,spin_fail_max,eager_status,eager_gate_ok,mps_hsaco,jit_log,hsaco_before,hsaco_after,rc,outdir,note
1,2026-08-12T09:38:25Z,"C=16,g=353,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,ca5b683f,26,7711.9,6879.8,6492.6,0.8419,0.9437,0.8921,True,0.035156,0.008293,True,0,True,600/600,2808.3,2704.8,339.3,2764.4,5852.4,370.9,2437.4,1,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:11:19|be7b189d458d,2026-08-12 07:10:16|5635a2f2a370,0,1_C16g353mode12flush_rows16timestamps1_20260812T093520Z,""
2,2026-08-12T09:41:32Z,"C=16,g=65,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,ca5b683f,26,7710.3,6897.8,7105.1,0.9215,1.0301,0.8946,True,0.039062,0.008293,True,0,True,600/600,2857.4,3144.3,422.9,3226.6,6424.5,369.6,2487.8,1,0,valid_diagnostic,True,be7b189d458d,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:11:19|be7b189d458d,0,2_C16g65mode12flush_rows16timestamps1_20260812T093825Z,""
3,2026-08-12T09:44:37Z,"C=16,g=353,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,ca5b683f,26,7712.7,6873.4,6499.0,0.8426,0.9455,0.8912,True,0.035156,0.008293,True,0,True,600/600,2829.5,2732.0,304.3,2840.2,5865.8,379.7,2449.8,1,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:11:19|be7b189d458d,2026-08-12 07:10:16|5635a2f2a370,0,3_C16g353mode12flush_rows16timestamps1_20260812T094132Z,""
4,2026-08-12T09:47:44Z,"C=16,g=65,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,ca5b683f,26,7707.9,6912.4,7134.8,0.9256,1.0322,0.8968,True,0.035156,0.008293,True,0,True,600/600,2843.8,3182.0,430.4,3233.9,6456.3,377.6,2466.2,0,0,valid_diagnostic,True,be7b189d458d,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:11:19|be7b189d458d,0,4_C16g65mode12flush_rows16timestamps1_20260812T094437Z,""
