idx,utc,cfg,status,iters,head,src_rev,prod_us,pf6gm_us,mps_us,ratio_vs_prod,ratio_vs_pf6gm,pf6gm_vs_prod,gate_pass,gate_max_abs,gate_rel,control_fails,pperr,soak,soak_epochs,ts_planM6_us,ts_M7_us,ts_combine_us,ts_servicedrain_us,ts_m2_to_end_us,ts_planM3toM5_us,ts_M6_us,spin_ok_max,spin_fail_max,eager_status,eager_gate_ok,mps_hsaco,jit_log,hsaco_before,hsaco_after,rc,outdir,note
1,2026-08-12T09:34:01Z,"C=16,g=353,mode=12,flush_rows=16,timestamps=1",OK,w1t1p1,ca5b683f,26,7902.4,6920.7,6863.6,0.8686,0.9917,0.8758,True,0.035156,0.008294,True,0,True,600/600,2832.8,2765.1,251.9,2867.9,5849.8,372.8,2459.9,0,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,0,1_C16g353mode12flush_rows16timestamps1_20260812T093337Z,""
2,2026-08-12T09:34:26Z,"C=16,g=65,mode=12,flush_rows=16,timestamps=1",OK,w1t1p1,ca5b683f,26,7816.5,6903.7,7237.8,0.9260,1.0484,0.8832,True,0.035156,0.008293,True,0,True,600/600,2829.7,3244.8,359.0,3335.4,6433.5,372.9,2456.8,0,0,valid_diagnostic,True,be7b189d458d,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:11:19|be7b189d458d,0,2_C16g65mode12flush_rows16timestamps1_20260812T093401Z,""
=== NEGCTL ===
idx,utc,cfg,status,iters,head,src_rev,prod_us,pf6gm_us,mps_us,ratio_vs_prod,ratio_vs_pf6gm,pf6gm_vs_prod,gate_pass,gate_max_abs,gate_rel,control_fails,pperr,soak,soak_epochs,ts_planM6_us,ts_M7_us,ts_combine_us,ts_servicedrain_us,ts_m2_to_end_us,ts_planM3toM5_us,ts_M6_us,spin_ok_max,spin_fail_max,eager_status,eager_gate_ok,mps_hsaco,jit_log,hsaco_before,hsaco_after,rc,outdir,note
1,2026-08-12T09:52:28Z,"C=16,g=321,mode=12,flush_rows=16,timestamps=1",FAIL:rc23,w1t1p1,ca5b683f,26,,,,,,,VOID,,,VOID,VOID,VOID,,,,,,,,,,,VOID,VOID,be7b189d458d,,2026-08-12 07:11:19|be7b189d458d,2026-08-12 07:11:19|be7b189d458d,23,1_C16g321mode12flush_rows16timestamps1_20260812T095214Z,"missing-rank-json"
