idx,utc,cfg,status,iters,head,src_rev,prod_us,pf6gm_us,mps_us,ratio_vs_prod,ratio_vs_pf6gm,pf6gm_vs_prod,gate_pass,gate_max_abs,gate_rel,control_fails,pperr,soak,soak_epochs,ts_planM6_us,ts_M7_us,ts_combine_us,ts_servicedrain_us,ts_m2_to_end_us,ts_planM3toM5_us,ts_M6_us,spin_ok_max,spin_fail_max,eager_status,eager_gate_ok,mps_hsaco,jit_log,hsaco_before,hsaco_after,rc,outdir,note
1,2026-08-12T09:57:43Z,"C=16,g=353,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,ca5b683f,26,7705.7,6918.0,6506.8,0.8444,0.9406,0.8978,True,0.039062,0.008294,True,0,True,600/600,2808.6,2787.0,268.2,2897.7,5863.8,369.9,2438.7,0,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:11:19|be7b189d458d,2026-08-12 07:10:16|5635a2f2a370,0,1_C16g353mode12flush_rows16timestamps1_20260812T095440Z,""
2,2026-08-12T10:00:52Z,"C=16,g=65,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,ca5b683f,26,7708.2,6909.7,7106.5,0.9219,1.0285,0.8964,True,0.035156,0.008294,True,0,True,600/600,2879.4,3225.8,384.0,3296.9,6489.1,380.8,2498.6,0,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,0,2_C16g65mode12flush_rows16timestamps1_20260812T095743Z,""
3,2026-08-12T10:03:56Z,"C=16,g=353,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,ca5b683f,26,7717.9,6900.5,6492.1,0.8412,0.9408,0.8941,True,0.035156,0.008293,True,0,True,600/600,2818.6,2666.3,312.3,2721.6,5797.1,375.2,2443.3,0,0,valid_diagnostic,True,be7b189d458d,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:11:19|be7b189d458d,0,3_C16g353mode12flush_rows16timestamps1_20260812T100052Z,""
4,2026-08-12T10:07:03Z,"C=16,g=65,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,ca5b683f,26,7705.6,6900.0,7115.0,0.9233,1.0312,0.8954,True,0.039062,0.008293,True,0,True,600/600,2864.2,3357.9,385.8,3457.3,6607.9,374.0,2490.2,0,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:11:19|be7b189d458d,2026-08-12 07:10:16|5635a2f2a370,0,4_C16g65mode12flush_rows16timestamps1_20260812T100356Z,""
