idx,utc,cfg,status,iters,head,src_rev,prod_us,pf6gm_us,mps_us,ratio_vs_prod,ratio_vs_pf6gm,pf6gm_vs_prod,gate_pass,gate_max_abs,gate_rel,control_fails,pperr,soak,soak_epochs,ts_planM6_us,ts_M7_us,ts_combine_us,ts_servicedrain_us,ts_m2_to_end_us,ts_planM3toM5_us,ts_M6_us,spin_ok_max,spin_fail_max,eager_status,eager_gate_ok,mps_hsaco,jit_log,hsaco_before,hsaco_after,rc,outdir,note
1,2026-08-12T11:44:10Z,"C=8,g=353,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,b5215081,26,7716.7,6887.9,6464.7,0.8378,0.9386,0.8926,True,0.039062,0.008293,True,0,True,600/600,2825.2,2682.4,313.7,2748.2,5821.3,381.1,2444.1,0,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,0,1_C8g353mode12flush_rows16timestamps1_20260812T114107Z,""
2,2026-08-12T11:47:15Z,"C=32,g=353,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,b5215081,26,7718.9,6905.3,6719.3,0.8705,0.9731,0.8946,True,0.035156,0.008293,True,0,True,600/600,2849.1,3003.0,176.3,3088.2,6028.3,372.9,2476.1,0,0,valid_diagnostic,True,be7b189d458d,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:11:19|be7b189d458d,0,2_C32g353mode12flush_rows16timestamps1_20260812T114410Z,""
3,2026-08-12T11:50:20Z,"C=64,g=1,mode=2,flush_rows=16,timestamps=1",OK,w500t100p5,b5215081,26,7724.5,6911.1,6829.6,0.8841,0.9882,0.8947,True,0.035156,0.008293,True,0,True,600/600,2905.6,2934.7,408.4,3270.0,6248.7,423.1,2482.5,0,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:11:19|be7b189d458d,2026-08-12 07:10:16|5635a2f2a370,0,3_C64g1mode2flush_rows16timestamps1_20260812T114715Z,""
4,2026-08-12T11:53:27Z,"C=16,g=65,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,b5215081,26,7715.8,6887.7,7125.0,0.9234,1.0344,0.8927,True,0.035156,0.008293,True,0,True,600/600,2894.1,3295.8,352.4,3408.7,6542.4,382.5,2511.7,0,0,valid_diagnostic,True,be7b189d458d,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:11:19|be7b189d458d,0,4_C16g65mode12flush_rows16timestamps1_20260812T115020Z,""
