idx,utc,cfg,status,iters,head,src_rev,prod_us,pf6gm_us,mps_us,ratio_vs_prod,ratio_vs_pf6gm,pf6gm_vs_prod,gate_pass,gate_max_abs,gate_rel,control_fails,pperr,soak,soak_epochs,ts_planM6_us,ts_M7_us,ts_combine_us,ts_servicedrain_us,ts_m2_to_end_us,ts_planM3toM5_us,ts_M6_us,spin_ok_max,spin_fail_max,eager_status,eager_gate_ok,mps_hsaco,jit_log,hsaco_before,hsaco_after,rc,outdir,note
1,2026-08-12T11:11:20Z,"C=16,g=353,mode=12,flush_rows=16,timestamps=1",FAIL:rc23,w1t1p1,b5215081,26,,,,,,,VOID,,,VOID,VOID,VOID,,,,,,,,,,,VOID,VOID,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,23,1_C16g353mode12flush_rows16timestamps1_20260812T111105Z,"missing-rank-json"
2,2026-08-12T11:11:34Z,"C=16,g=97,mode=12,flush_rows=16,timestamps=1",FAIL:rc23,w1t1p1,b5215081,26,,,,,,,VOID,,,VOID,VOID,VOID,,,,,,,,,,,VOID,VOID,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,23,2_C16g97mode12flush_rows16timestamps1_20260812T111120Z,"missing-rank-json"
3,2026-08-12T11:11:48Z,"C=16,g=65,mode=12,flush_rows=16,timestamps=1",FAIL:rc23,w1t1p1,b5215081,26,,,,,,,VOID,,,VOID,VOID,VOID,,,,,,,,,,,VOID,VOID,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,23,3_C16g65mode12flush_rows16timestamps1_20260812T111134Z,"missing-rank-json"
4,2026-08-12T11:12:03Z,"C=8,g=353,mode=12,flush_rows=16,timestamps=1",FAIL:rc23,w1t1p1,b5215081,26,,,,,,,VOID,,,VOID,VOID,VOID,,,,,,,,,,,VOID,VOID,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,23,4_C8g353mode12flush_rows16timestamps1_20260812T111148Z,"missing-rank-json"
5,2026-08-12T11:12:17Z,"C=32,g=353,mode=12,flush_rows=16,timestamps=1",FAIL:rc23,w1t1p1,b5215081,26,,,,,,,VOID,,,VOID,VOID,VOID,,,,,,,,,,,VOID,VOID,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,23,5_C32g353mode12flush_rows16timestamps1_20260812T111203Z,"missing-rank-json"
6,2026-08-12T11:12:32Z,"C=64,g=1,mode=2,flush_rows=16,timestamps=1",FAIL:rc23,w1t1p1,b5215081,26,,,,,,,VOID,,,VOID,VOID,VOID,,,,,,,,,,,VOID,VOID,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,23,6_C64g1mode2flush_rows16timestamps1_20260812T111217Z,"missing-rank-json"
