idx,utc,cfg,status,iters,head,src_rev,prod_us,pf6gm_us,mps_us,ratio_vs_prod,ratio_vs_pf6gm,pf6gm_vs_prod,gate_pass,gate_max_abs,gate_rel,control_fails,pperr,soak,soak_epochs,ts_planM6_us,ts_M7_us,ts_combine_us,ts_servicedrain_us,ts_m2_to_end_us,ts_planM3toM5_us,ts_M6_us,spin_ok_max,spin_fail_max,eager_status,eager_gate_ok,mps_hsaco,jit_log,hsaco_before,hsaco_after,rc,outdir,note
1,2026-08-12T11:30:01Z,"C=16,g=353,mode=12,flush_rows=16,timestamps=1",OK,w1t1p1,b5215081,26,7915.5,6908.8,6603.9,0.8343,0.9559,0.8728,True,0.039062,0.008328,True,0,True,600/600,2799.7,2603.4,377.5,2672.2,5780.6,374.9,2424.8,0,0,valid_diagnostic,True,be7b189d458d,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:11:19|be7b189d458d,0,1_C16g353mode12flush_rows16timestamps1_20260812T112936Z,""
2,2026-08-12T11:30:26Z,"C=64,g=1,mode=2,flush_rows=16,timestamps=1",OK,w1t1p1,b5215081,26,8017.0,6989.1,7291.8,0.9095,1.0433,0.8718,True,0.040039,0.008328,True,0,True,600/600,2884.8,2959.4,411.7,3260.8,6255.9,418.6,2466.2,1,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:11:19|be7b189d458d,2026-08-12 07:10:16|5635a2f2a370,0,2_C64g1mode2flush_rows16timestamps1_20260812T113001Z,""
3,2026-08-12T11:30:50Z,"C=16,g=65,mode=12,flush_rows=16,timestamps=1",OK,w1t1p1,b5215081,26,7931.8,6972.0,7268.2,0.9163,1.0425,0.8790,True,0.040039,0.008328,True,0,True,600/600,2850.6,3336.6,314.7,3424.9,6501.9,377.5,2473.1,0,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,0,3_C16g65mode12flush_rows16timestamps1_20260812T113026Z,""
