idx,utc,cfg,status,iters,head,src_rev,prod_us,pf6gm_us,mps_us,ratio_vs_prod,ratio_vs_pf6gm,pf6gm_vs_prod,gate_pass,gate_max_abs,gate_rel,control_fails,pperr,soak,soak_epochs,ts_planM6_us,ts_M7_us,ts_combine_us,ts_servicedrain_us,ts_m2_to_end_us,ts_planM3toM5_us,ts_M6_us,spin_ok_max,spin_fail_max,eager_status,eager_gate_ok,mps_hsaco,jit_log,hsaco_before,hsaco_after,rc,outdir,note
1,2026-08-12T11:25:40Z,"C=16,g=353,mode=12,flush_rows=16,timestamps=1",OK,w1t1p1,b5215081,26,7840.7,6938.9,6565.2,0.8373,0.9461,0.8850,True,0.035156,0.008294,True,0,True,600/600,2818.1,2647.7,475.6,2772.8,5941.4,373.5,2444.6,0,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:11:19|be7b189d458d,2026-08-12 07:10:16|5635a2f2a370,0,1_C16g353mode12flush_rows16timestamps1_20260812T112516Z,""
2,2026-08-12T11:26:04Z,"C=16,g=97,mode=12,flush_rows=16,timestamps=1",OK,w1t1p1,b5215081,26,7868.1,6956.5,6605.7,0.8396,0.9496,0.8841,True,0.035156,0.008293,True,0,True,600/600,2822.7,2758.2,364.6,2853.1,5945.5,375.2,2447.5,0,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,0,2_C16g97mode12flush_rows16timestamps1_20260812T112540Z,""
3,2026-08-12T11:26:29Z,"C=16,g=65,mode=12,flush_rows=16,timestamps=1",OK,w1t1p1,b5215081,26,7875.8,6944.9,7241.9,0.9195,1.0428,0.8818,True,0.039062,0.008294,True,0,True,600/600,2851.2,3181.8,418.3,3278.9,6451.3,375.7,2475.5,0,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,0,3_C16g65mode12flush_rows16timestamps1_20260812T112604Z,""
4,2026-08-12T11:26:54Z,"C=8,g=353,mode=12,flush_rows=16,timestamps=1",OK,w1t1p1,b5215081,26,7850.2,6935.6,6719.1,0.8559,0.9688,0.8835,True,0.035156,0.008293,True,0,True,600/600,2831.8,2622.4,343.9,2685.9,5798.1,377.5,2454.3,0,0,valid_diagnostic,True,be7b189d458d,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:11:19|be7b189d458d,0,4_C8g353mode12flush_rows16timestamps1_20260812T112629Z,""
5,2026-08-12T11:27:18Z,"C=32,g=353,mode=12,flush_rows=16,timestamps=1",OK,w1t1p1,b5215081,26,7840.5,6966.6,6766.7,0.8630,0.9713,0.8885,True,0.035156,0.008294,True,0,True,600/600,2830.6,3020.8,162.4,3101.7,6013.8,367.7,2462.9,1,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:11:19|be7b189d458d,2026-08-12 07:10:16|5635a2f2a370,0,5_C32g353mode12flush_rows16timestamps1_20260812T112654Z,""
6,2026-08-12T11:27:43Z,"C=64,g=1,mode=2,flush_rows=16,timestamps=1",OK,w1t1p1,b5215081,26,7796.2,6987.3,6966.1,0.8935,0.9970,0.8962,True,0.035156,0.008294,True,0,True,600/600,2899.6,2941.6,405.1,3230.8,6246.4,418.2,2481.4,0,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,0,6_C64g1mode2flush_rows16timestamps1_20260812T112718Z,""
