idx,utc,cfg,status,iters,head,src_rev,prod_us,pf6gm_us,mps_us,ratio_vs_prod,ratio_vs_pf6gm,pf6gm_vs_prod,gate_pass,gate_max_abs,gate_rel,control_fails,pperr,soak,soak_epochs,ts_planM6_us,ts_M7_us,ts_combine_us,ts_servicedrain_us,ts_m2_to_end_us,ts_planM3toM5_us,ts_M6_us,spin_ok_max,spin_fail_max,eager_status,eager_gate_ok,mps_hsaco,jit_log,hsaco_before,hsaco_after,rc,outdir,note
1,2026-08-12T12:07:05Z,"C=16,g=353,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,b5215081,26,7722.8,6896.8,6520.9,0.8444,0.9455,0.8930,True,0.039551,0.008328,True,0,True,600/600,2818.3,2646.9,478.3,2714.5,5943.6,378.2,2440.2,0,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:10:16|5635a2f2a370,0,1_C16g353mode12flush_rows16timestamps1_20260812T120402Z,""
2,2026-08-12T12:10:11Z,"C=64,g=1,mode=2,flush_rows=16,timestamps=1",OK,w500t100p5,b5215081,26,7733.1,6882.1,6818.9,0.8818,0.9908,0.8900,True,0.039062,0.008328,True,0,True,600/600,2889.9,2864.6,470.1,3230.5,6224.6,423.2,2466.7,0,0,valid_diagnostic,True,be7b189d458d,,2026-08-12 07:10:16|5635a2f2a370,2026-08-12 07:11:19|be7b189d458d,0,2_C64g1mode2flush_rows16timestamps1_20260812T120705Z,""
3,2026-08-12T12:13:18Z,"C=16,g=65,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,b5215081,26,7725.8,6916.3,7194.2,0.9312,1.0402,0.8952,True,0.040039,0.008329,True,0,True,600/600,2866.7,3134.1,523.5,3193.1,6524.3,373.6,2493.1,0,0,valid_diagnostic,True,be7b189d458d,,2026-08-12 07:11:19|be7b189d458d,2026-08-12 07:11:19|be7b189d458d,0,3_C16g65mode12flush_rows16timestamps1_20260812T121011Z,""
