idx,utc,cfg,status,iters,head,src_rev,prod_us,pf6gm_us,mps_us,ratio_vs_prod,ratio_vs_pf6gm,pf6gm_vs_prod,gate_pass,gate_max_abs,gate_rel,control_fails,pperr,soak,soak_epochs,ts_planM6_us,ts_M7_us,ts_combine_us,ts_servicedrain_us,ts_m2_to_end_us,ts_planM3toM5_us,ts_M6_us,spin_ok_max,spin_fail_max,eager_status,eager_gate_ok,mps_hsaco,jit_log,hsaco_before,hsaco_after,rc,outdir,note
1,2026-08-12T11:58:20Z,"C=16,g=353,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,b5215081,26,7714.4,6922.9,6504.6,0.8432,0.9396,0.8974,True,0.035156,0.008293,True,0,True,600/600,2831.9,2644.9,382.7,2690.3,5859.5,380.9,2451.1,0,0,valid_diagnostic,True,be7b189d458d,,2026-08-12 07:11:19|be7b189d458d,2026-08-12 07:11:19|be7b189d458d,0,1_C16g353mode12flush_rows16timestamps1_20260812T115516Z,""
2,2026-08-12T12:01:23Z,"C=16,g=97,mode=12,flush_rows=16,timestamps=1",OK,w500t100p5,b5215081,26,7700.1,6886.9,6579.1,0.8544,0.9553,0.8944,True,0.035156,0.008293,True,0,True,600/600,2836.1,2846.7,265.9,2936.7,5948.8,376.1,2460.0,0,0,valid_diagnostic,True,5635a2f2a370,,2026-08-12 07:11:19|be7b189d458d,2026-08-12 07:10:16|5635a2f2a370,0,2_C16g97mode12flush_rows16timestamps1_20260812T115820Z,""
